170	2818	 Fabricación de herramientas manuales con motor 	 0.550	1
171	2819	 Fabricación de otros tipos de maquinaria y equipo de uso general n.c.p.. 	 0.550	1
172	2821	 Fabricación de maquinaria agropecuaria y forestal 	 0.550	1
173	2822	 Fabricación de máquinas formadoras de metal y de máquinas herramienta 	 0.550	1
174	2823	 Fabricación de maquinaria para la metalurgia 	 0.550	1
175	2824	 Fabricación de maquinaria para explotación de minas y canteras y para obras de construcción 	 0.550	1
176	2825	 Fabricación de maquinaria para la elaboración de alimentos, bebidas y tabaco 	 0.550	1
177	2826	 Fabricación de maquinaria para la elaboración de productos textiles, prendas de vestir y cueros 	 0.550	1
178	2829	 Fabricación de otros tipos de maquinaria y equipo de uso especial n.c.p. 	 0.550	1
179	2910	 Fabricación de vehículos automotores y sus motores 	 0.550	1
180	2920	" Fabricación de carrocerías para vehículos automotores; fabricación de remolques y semirremolques "	 0.550	1
181	2930	 Fabricación de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores 	 0.550	1
182	3011	 Construcción de barcos y de estructuras flotantes 	 0.550	1
183	3012	 Construcción de embarcaciones de recreo y deporte 	 0.550	1
184	3020	 Fabricación de locomotoras y de material rodante para ferrocarriles 	 0.550	1
185	3030	 Fabricación de aeronaves, naves espaciales y de maquinaria conexa 	 0.550	1
186	3040	 Fabricación de vehículos militares de combate 	 0.550	1
187	3091	 Fabricación de motocicletas 	 0.550	1
188	3092	 Fabricación de bicicletas y de sillas de ruedas para personas con discapacidad 	 0.550	1
189	3099	 Fabricación de otros tipos de equipo de transporte n.c.p. 	 0.550	1
190	3110	 Fabricación de muebles 	 0.550	1
191	3120	 Fabricación de colchones y somieres 	 0.550	1
192	3210	  	 0.550	1
193	3211	 Fabricación de joyas y artículos conexos 	 0.550	1
194	3212	 Fabricación de bisutería y artículos conexos 	 0.550	1
195	3220	 Fabricación de instrumentos musicales 	 0.550	1
196	3230	 Fabricación de artículos y equipo para la práctica del deporte 	 0.550	1
197	3240	 Fabricación de juegos, juguetes y rompecabezas 	 0.550	1
198	3250	 Fabricación de instrumentos, aparatos y materiales médicos y odontológicos (incluido mobiliario) 	 0.550	1
199	3290	 Otras industrias manufactureras n.c.p. 	 0.550	1
200	3311	 Mantenimiento y reparación especializado de productos elaborados en metal 	 0.550	1
201	3312	 Mantenimiento y reparación especializado de maquinaria y equipo 	 0.550	1
202	3313	 Mantenimiento y reparación especializado de equipo electrónico y óptico 	 0.550	1
203	3314	 Mantenimiento y reparación especializado de equipo eléctrico 	 0.550	1
204	3315	 Mantenimiento y reparación especializado de equipo de transporte, excepto los vehículos automotores, motocicletas y bicicletas 	 0.550	1
205	3319	 Mantenimiento y reparación de otros tipos de equipos y sus componentes n.c.p. 	 0.550	1
206	3320	 Instalación especializada de maquinaria y equipo industrial 	 0.550	1
207	3511	 Generación de energía eléctrica 	 2.200	1
208	3512	 Transmisión de energía eléctrica 	 2.200	1
209	3513	 Distribución de energía eléctrica 	 2.200	1
210	3514	 Comercialización de energía eléctrica 	 2.200	1
211	3520	" Producción de gas; distribución de combustibles gaseosos por tuberías. "	 2.200	1
212	3530	 Suministro de vapor y aire acondicionado 	 2.200	1
213	3600	 Captación, tratamiento y distribución de agua 	 2.200	1
214	3700	 Evacuación y tratamiento de aguas residuales 	 2.200	1
215	3811	 Recolección de desechos no peligrosos 	 2.200	1
216	3812	 Recolección de desechos peligrosos 	 2.200	1
217	3821	 Tratamiento y disposición de desechos no peligrosos 	 2.200	1
218	3822	 Tratamiento y disposición de desechos peligrosos 	 2.200	1
219	3830	 Recuperación de materiales 	 2.200	1
220	3900	 Actividades de saneamiento ambiental y otros servicios de gestión de desechos 	 2.200	1
221	4111	 Construcción de edificios residenciales 	 1.100	1
222	4112	 Construcción de edificios no residenciales 	 1.100	1
223	4210	 Construcción de carreteras y vías de ferrocarril 	 1.100	1
224	4220	 Construcción de proyectos de servicio público 	 1.100	1
225	4290	 Construcción de otras obras de ingeniería civil 	 1.100	1
226	4311	 Demolición 	 1.100	1
227	4312	 Preparación del terreno 	 1.100	1
228	4321	 Instalaciones eléctricas 	 1.100	1
229	4322	 Instalaciones de fontanería, calefacción y aire acondicionado 	 1.100	1
230	4329	 Otras instalaciones especializadas 	 1.100	1
231	4330	 Terminación y acabado de edificios y obras de ingeniería civil 	 1.100	1
232	4390	 Otras actividades especializadas para la construcción de edificios y obras de ingeniería civil 	 1.100	1
233	4511	 Comercio de vehículos automotores nuevos 	 0.550	1
234	4512	 Comercio de vehículos automotores usados 	 0.550	1
235	4520	 Mantenimiento y reparación de vehículos automotores 	 0.550	1
236	4530	 Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores 	 0.550	1
237	4541	 Comercio de motocicletas y de sus partes, piezas y accesorios 	 0.550	1
238	4542	 Mantenimiento y reparación de motocicletas y de sus partes y piezas 	 0.550	1
239	4610	 Comercio al por mayor a cambio de una retribución o por contrata 	 0.550	1
240	4620	" Comercio al por mayor de materias primas agropecuarias; animales vivos "	 0.550	1
241	4631	 Comercio al por mayor de productos alimenticios 	 0.550	1
242	4632	 Comercio al por mayor de bebidas y tabaco 	 0.550	1
243	4641	" Comercio al por mayor de productos textiles; productos confeccionados para uso doméstico "	 0.550	1
244	4642	 Comercio al por mayor de prendas de vestir 	 0.550	1
245	4643	 Comercio al por mayor de calzado 	 0.550	1
246	4644	 Comercio al por mayor de aparatos y equipo de uso doméstico 	 0.550	1
247	4645	 Comercio al por mayor de productos farmacéuticos, medicinales, cosméticos y de tocador 	 0.550	1
248	4649	 Comercio al por mayor de otros utensilios domésticos n.c.p. 	 0.550	1
249	4651	 Comercio al por mayor de computadores, equipo periférico y programas de informática 	 0.550	1
250	4652	 Comercio al por mayor de equipo, partes y piezas electrónicos y de telecomunicaciones 	 0.550	1
251	4653	 Comercio al por mayor de maquinaria y equipo agropecuarios 	 0.550	1
252	4659	 Comercio al por mayor de otros tipos de maquinaria y equipo n.c.p. 	 0.550	1
253	4661	 Comercio al por mayor de combustibles sólidos, líquidos, gaseosos y productos conexos 	 0.550	1
254	4662	 Comercio al por mayor de metales y productos metalíferos 	 0.550	1
255	4663	 Comercio al por mayor de materiales de construcción, artículos de ferretería, pinturas, productos de vidrio, equipo y materiales de fontanería y calefacción 	 0.550	1
256	4664	 Comercio al por mayor de productos químicos básicos, cauchos y plásticos en formas primarias y productos químicos de uso agropecuario 	 0.550	1
257	4665	 Comercio al por mayor de desperdicios, desechos y chatarra 	 0.550	1
258	4669	 Comercio al por mayor de otros productos n.c.p. 	 0.550	1
259	4690	 Comercio al por mayor no especializado 	 0.550	1
260	4711	 Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas (alcohólicas y no alcohólicas) o tabaco 	 0.550	1
261	4719	 Comercio al por menor en establecimientos no especializados, con surtido compuesto principalmente por productos diferentes de alimentos (víveres en general), bebidas (alcohólicas y no alcohólicas) y tabaco 	 0.550	1
262	4721	 Comercio al por menor de productos agrícolas para el consumo en establecimientos especializados 	 0.550	1
263	4722	 Comercio al por menor de leche, productos lácteos y huevos en establecimientos especializados 	 0.550	1
264	4723	 Comercio al por menor de carnes (incluye aves de corral), productos cárnicos, pescados y productos de mar en establecimientos especializados 	 0.550	1
265	4724	 Comercio al por menor de bebidas y productos de tabaco, en establecimientos especializados 	 0.550	1
266	4729	 Comercio al por menor de otros productos alimenticios n.c.p., en establecimientos especializados 	 0.550	1
267	4731	 Comercio al por menor de combustible para automotores 	 0.550	1
268	4732	 Comercio al por menor de lubricantes (aceites y grasas) aditivos y productos de limpieza para vehículos automotores 	 0.550	1
269	4741	 Comercio al por menor de computadores, equipos periféricos, programas de informática y equipos de telecomunicaciones en establecimientos especializados 	 0.550	1
